,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,color
MIR181B1,2.420208518852909,1.4974304380882537,0.5053065555358518,2.9634098779904114,0.0030425113971875137,0.038801709840883436,red
HCAR2,2.2735467750230183,-1.5056687753214124,0.34945637398129487,-4.308602982877644,1.6428897560259202e-05,0.0028812928589806415,blue
KRTAP5-10,1.1260441562539525,-1.5056791616903724,0.3445348766963334,-4.370179228669061,1.2414459801703306e-05,0.0025250513971369327,blue
DGKK,8.403632929459294,-1.5105064527340215,0.3685625628824392,-4.09837190440807,4.1606638961652666e-05,0.004346446584050559,blue
GZMA,0.7881061964870381,-1.5205540173768646,0.44125498082073716,-3.445975872155877,0.0005690011601950864,0.01713483107856383,blue
LGR6,15.264879207557184,-1.5283445863874119,0.3312866009042855,-4.613360704041807,3.9620983017484114e-06,0.0013221852207792927,blue
ELF3,2.2989324008962027,-1.5302485147108325,0.30179851750497433,-5.070430853543244,3.969161065570717e-07,0.0003814681316898705,blue
SELE,12.086733644143576,-1.53098956049775,0.4751566018572593,-3.2220736374355816,0.0012726642216541525,0.024840213853520973,blue
GPX2,0.597106379428452,-1.5446937715947604,0.4083028220566586,-3.783206209092548,0.0001548210440358914,0.008647955732062909,blue
CXCL1,9.356679422960013,-1.553312732008774,0.3615888514977501,-4.295798185078832,1.740658870284874e-05,0.0029388895978010865,blue
LOC692247,1.4052374280370112,-1.559929321684369,0.3857913704777023,-4.043453122740413,5.266969062291232e-05,0.004793540365896645,blue
